Output format is unaligned.
Field separator is "	".
Null display is "NULL".
=== Q1 mi_themes history: crypto + AI lineages ===
theme_date	name	source	stage	score	rs_avg	days_active	consecutive_accelerating	parent_theme	tickers	descr
2026-08-04	AI Data Center Infrastructure Buildout	shadow_promoted	Retired	54.3	54.300000000000004	1	0	Cloud Data Storage & Analytics Infrastructure	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-05	AI Data Center Infrastructure Buildout	shadow_promoted	Nascent	46.8	46.833333333333336	2	0	NULL	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-06	AI Data Center Infrastructure Buildout	live	Retired	0.0	NULL	3	0	Cloud Data Storage & Analytics Infrastructure		Auto-retired 2026-08-06: absorbed/superseded by 'Cloud Data Storage & Analytics Infrastructure' (prior stage Nascent, 3 tickers).
2026-07-20	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	11.6	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-21	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	9.3	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-22	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	77.2	94.5	3	0	NULL	CIFR,HUT	HUT is being driven higher by its announcement of a second 15-year, $9.8 billion AI data center lease at its Beacon Point campus in Texas, which fully commercializes the 1 GW site and doubles contracted IT capacity. That
2026-07-23	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	79.0	97.9	4	1	NULL	CIFR,HUT	CIFR and HUT are being driven higher this week primarily by a sector-wide re-rating of Bitcoin miners pivoting to AI/HPC data center infrastructure after Hut 8’s new $9.8 billion Beacon Point lease and IREN’s multi-year 
2026-07-24	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	76.8	93.5	5	2	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-27	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	61.4	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-28	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	49.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-29	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	39.3	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-30	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	31.5	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-31	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	25.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-08-03	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	72.5	84.9	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-05	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	58.0	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-06	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	46.4	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
(16 rows)
=== Q2 audit rows 08-03..08-07 naming the lineages or the five tickers ===
2026-08-04 17:03:35	theme_discovered	New theme: Management Consulting & Research Advisory Services (2 stocks)	Tickers: HURN, IT | Thesis: HURN is trading higher this week primarily on the back of its record Q2 2026 earnings beat and raised full‑year guidance, which drove a ~35–40% post‑print jump and strong follow‑through as investors reprice the growth trajectory. The catalyst is a broad-based upside surprise: adjusted EPS well above consensus, double‑digit revenue growth led by digital/AI-enabled and managed services, and a higher 2026 EPS and revenue outlook signaling sustained demand and margin strength. Positive analyst commentary and renewed buy ratings are reinforcing the move, but they are secondary to the earnings/guidance shock.
2026-08-04 17:03:35	theme_discovered	New theme: Technology Intellectual Property Licensing (2 stocks)	Tickers: IDCC, DLB | Thesis: Dolby (DLB) is being driven higher by its latest quarterly earnings report, which showed an EPS beat versus consensus (around $0.69 vs $0.67) and strong Q4/full-year guidance despite a modest revenue miss. The move is amplified by unusually heavy volume and multiple momentum alerts as investors react to the 10‑Q and forward outlook. InterDigital (IDCC) has been supported by ongoing positive sentiment around its Amazon patent license agreement and broader licensing wins, but there does not appear to be a fresh, discrete news catalyst this week beyond positioning ahead of upcoming earnings and continued recognition of its royalty stream growth story.
2026-08-04 17:03:35	theme_retired	Retired: Bitcoin Mining & Crypto Infrastructure Operators	Last tickers: CIFR, HUT
2026-08-04 17:04:12	theme_auto_retired	Auto-retired 1 theme(s) dropped during merge passes (0 with successor pointer)	'Bitcoin Mining & Crypto Infrastructure Operators' -> parent='(unknown)'
2026-08-04 17:04:12	theme_renamed_for_continuity	1 theme(s) renamed to prior canonical names	'U.S. Domestic Steel Producers' → 'Domestic Steel Producers' (canonical from 2026-07-21)
2026-08-04 17:06:40	shadow_themes_promoted	Graduated 4 shadow cohort(s) into live mi_themes (4 new)	promoted=['Aerospace Precision Components & Supply Chain', 'AI Data Center Infrastructure Buildout', 'AI GPU Compute Infrastructure & Cloud Services', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Spending Surge'] new=['Aerospace Precision Components & Supply Chain', 'AI Data Center Infrastructure Buildout', 'AI GPU Compute Infrastructure & Cloud Services', 'U.S. Government/Defense Spending Surge']
2026-08-04 17:10:38	theme_engine_funnel	births: uncovered=14 v/t/e=15/6/26 discovery=ON → LLM=1 → survived=1 | retired=2	{"uncovered": 14, "velocity": 15, "turners": 6, "elite_covered": 26, "discovery_called": true, "new_raw_llm": 1, "new_themes_survived": 1, "retired": 2, "survived_names": ["Defense ISR & Unmanned Systems Intelligence"]}
2026-08-04 17:10:38	theme_discovered	New theme: Defense ISR & Unmanned Systems Intelligence (2 stocks)	Tickers: HAWK, AVEX | Thesis: HAWK is being bid up on the back of a new strategic contract win with the Indian Navy, which is driving optimism around its international defense and space-based RF analytics revenue trajectory. For AVEX, the key catalyst is a cluster of recent U.S. Air Force and FIRIS program contracts, plus a strong Q1 “double‑beat” earnings print, reinforcing the growth narrative in unmanned mission and aerial intelligence platforms. Together, those defense-related awards and earnings momentum are the primary drivers of the stocks’ move higher this week.
2026-08-04 17:10:38	theme_retired	Retired: U.S. Apparel & Lifestyle Brand Recovery	Last tickers: VSXY, OXM
2026-08-04 17:10:38	theme_retired	Retired: Industrial & Logistics REITs	Last tickers: FR, EGP, TRNO
2026-08-04 17:10:38	theme_pass1_5_absorption	Pass1.5: 'Domestic Steel Producers' -> 'U.S. Domestic Steel Producers'	t='Domestic Steel Producers' t_score=72.2 t_protected=True t_size=2 unique_count=0 target='U.S. Domestic Steel Producers' target_score=72.2 target_protected=True
2026-08-04 17:10:38	theme_pass1_5_absorption	Pass1.5: 'AI Data Center Infrastructure Buildout' -> 'Cloud Data Storage & Analytics Infrastructure'	t='AI Data Center Infrastructure Buildout' t_score=43.440000000000005 t_protected=True t_size=2 unique_count=0 target='Cloud Data Storage & Analytics Infrastructure' target_score=79.0 target_protected=True
2026-08-04 17:11:14	theme_auto_retired	Auto-retired 4 theme(s) dropped during merge passes (2 with successor pointer)	'AI Data Center Infrastructure Buildout' -> parent='Cloud Data Storage & Analytics Infrastructure' | 'Domestic Steel Producers' -> parent='U.S. Domestic Steel Producers' | 'Industrial & Logistics REITs' -> parent='(unknown)' | 'U.S. Apparel & Lifestyle Brand Recovery' -> parent='(unknown)'
2026-08-04 17:12:38	theme_engine_funnel	births: uncovered=14 v/t/e=15/6/26 discovery=ON → LLM=3 → survived=3 | retired=2	{"uncovered": 14, "velocity": 15, "turners": 6, "elite_covered": 26, "discovery_called": true, "new_raw_llm": 3, "new_themes_survived": 3, "retired": 2, "survived_names": ["Defense ISR & Unmanned Systems Intelligence", "Industrial Lifting, Material Handling & Equipment Rental", "Electrical Connectivity & Utility Network Hardware"]}
2026-08-04 17:12:38	theme_discovered	New theme: Defense ISR & Unmanned Systems Intelligence (2 stocks)	Tickers: HAWK, AVEX | Thesis: HAWK (HawkEye 360) and AVEX (AEVEX Corp.) are both catching a bid on fresh defense and national security contract wins, with AVEX specifically rallying on the announcement of $88.1 million in new long‑range precision strike production orders from U.S. government customers. That award reinforces the broader geospatial/intelligence and defense-contracting theme, which is drawing incremental investor flows into names like HawkEye 360 alongside AVEX.
2026-08-04 17:12:38	theme_discovered	New theme: Industrial Lifting, Material Handling & Equipment Rental (2 stocks)	Tickers: HRI, CMCO | Thesis: I’m only seeing a clear company-news catalyst for CMCO: Columbus McKinnon has been trading higher on no obvious fresh headline, and the move looks more like a broad industrials/small-cap rebound than a specific company announcement. I’m not seeing a direct news driver for HRI either in the provided results.
2026-08-04 17:12:38	theme_discovered	New theme: Electrical Connectivity & Utility Network Hardware (2 stocks)	Tickers: PLPC, BDC | Thesis: PLPC is trading higher this week on the back of a massive Q2 earnings beat and record financial results reported on July 29, with EPS and revenue coming in far above Street expectations. The company posted 25% year-over-year sales growth, 32% U.S. sales growth, margin expansion, and highlighted incremental growth from its Delta Star acquisition, all of which have driven a repricing of the stock higher. There is no single new headline this week; the move is an ongoing reaction to that strong quarterly print and outlook commentary.
2026-08-04 17:12:38	theme_retired	Retired: U.S. Apparel & Lifestyle Brand Recovery	Last tickers: VSXY, OXM
2026-08-04 17:12:38	theme_retired	Retired: Industrial & Logistics REITs	Last tickers: FR, EGP, TRNO
2026-08-04 17:12:38	theme_pass1_5_absorption	Pass1.5: 'Domestic Steel Producers' -> 'U.S. Domestic Steel Producers'	t='Domestic Steel Producers' t_score=72.2 t_protected=True t_size=2 unique_count=0 target='U.S. Domestic Steel Producers' target_score=72.2 target_protected=True
2026-08-04 17:12:38	theme_pass1_5_absorption	Pass1.5: 'AI Data Center Infrastructure Buildout' -> 'Cloud Data Storage & Analytics Infrastructure'	t='AI Data Center Infrastructure Buildout' t_score=43.440000000000005 t_protected=True t_size=2 unique_count=0 target='Cloud Data Storage & Analytics Infrastructure' target_score=79.0 target_protected=True
2026-08-04 17:13:13	theme_auto_retired	Auto-retired 4 theme(s) dropped during merge passes (2 with successor pointer)	'AI Data Center Infrastructure Buildout' -> parent='Cloud Data Storage & Analytics Infrastructure' | 'Domestic Steel Producers' -> parent='U.S. Domestic Steel Producers' | 'Industrial & Logistics REITs' -> parent='(unknown)' | 'U.S. Apparel & Lifestyle Brand Recovery' -> parent='(unknown)'
2026-08-04 17:13:20	shadow_themes_promoted	Graduated 5 shadow cohort(s) into live mi_themes (5 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'For-Profit & Vocational Education Operators', 'Industrial Equipment Rental & Material Handling', 'Quantum Computing Hardware & Software', 'Senior & Mid-Tier Gold & Silver Miners', 'U.S. Government/Defense Contract Surge'] new=['AI Data Center Infrastructure Buildout', 'For-Profit & Vocational Education Operators', 'Industrial Equipment Rental & Material Handling', 'Senior & Mid-Tier Gold & Silver Miners', 'U.S. Government/Defense Contract Surge']
2026-08-04 17:15:03	shadow_themes_promoted	Graduated 3 shadow cohort(s) into live mi_themes (3 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Government & Defense IT Services Providers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Spending Surge'] new=['AI Data Center Infrastructure Buildout', 'Government & Defense IT Services Providers', 'U.S. Government/Defense Spending Surge']
2026-08-05 17:00:55	theme_dissolved_flagged_pair	Arm A dissolve: 'AI-Augmented Business Process Outsourcing & IT Services' — validation flagged G at 2 members	via=validation flagged=['G'] survivors=['EXLS'] (survivor released, no cooldown — ADR 0025 Arm A)
2026-08-05 17:00:58	theme_dissolved_flagged_pair	Arm A dissolve: 'Asset Management & Fund Administration Platform Ecosystem' — validation flagged BX at 2 members	via=validation flagged=['BX'] survivors=['SSNC'] (survivor released, no cooldown — ADR 0025 Arm A)
2026-08-05 17:02:05	theme_dissolved_flagged_pair	Arm A dissolve: 'Management Consulting & Research Advisory Services' — validation flagged IT at 2 members	via=validation flagged=['IT'] survivors=['HURN'] (survivor released, no cooldown — ADR 0025 Arm A)
2026-08-05 17:02:33	theme_dissolved_flagged_pair	Arm A dissolve: 'Technology Intellectual Property Licensing' — validation flagged DLB at 2 members	via=validation flagged=['DLB'] survivors=['IDCC'] (survivor released, no cooldown — ADR 0025 Arm A)
2026-08-05 17:05:50	theme_engine_funnel	births: uncovered=13 v/t/e=21/11/27 discovery=ON → LLM=5 → survived=5 | retired=4	{"uncovered": 13, "velocity": 21, "turners": 11, "elite_covered": 27, "discovery_called": true, "new_raw_llm": 5, "new_themes_survived": 5, "retired": 4, "survived_names": ["Mobile App Platform & Advertising Monetization", "Technology Intellectual Property Licensing", "Industrial Process Equipment, Automation & Flow Control", "Building Envelope, Ceilings & Interior Construction Products", "Junior & Mid-Tier Precious Metals Miners Rotation"]}
2026-08-05 17:05:50	theme_discovered	New theme: Mobile App Platform & Advertising Monetization (2 stocks)	Tickers: BSP, APPS | Thesis: Digital Turbine (APPS) is moving higher this week primarily on the back of a strong Q1 print that beat Street expectations on both EPS and revenue, reinforcing the view that its growth inflection is underway. The move is being reinforced by ongoing positive sentiment around its app discovery/ad monetization flywheel and recent AI/data partnerships (e.g., Databricks, Google Cloud) that support a higher medium-term revenue trajectory. In short, the catalyst is an earnings beat plus growing confidence that its new AI-driven platform deals can sustain above-consensus growth.
2026-08-05 17:05:50	theme_discovered	New theme: Technology Intellectual Property Licensing (2 stocks)	Tickers: IDCC, DLB | Thesis: Dolby (DLB) is being driven higher by its latest quarterly report, where it beat EPS expectations ($0.69 vs. $0.67) despite a slight revenue miss and guided to stronger Q4 and full-year growth. InterDigital (IDCC) is moving on a very strong Q2 print and guidance raise, with annualized recurring revenue hitting a record ~$626M and the company lifting full-year 2026 revenue outlook by $85M at the midpoint, supported by its new Amazon streaming/license agreement and recent patent injunction wins against Disney. Both names are effectively trading on better-than-expected earnings outlooks and strengthened licensing economics.
2026-08-05 17:05:50	theme_discovered	New theme: Industrial Process Equipment, Automation & Flow Control (3 stocks)	Tickers: EMR, FLS, LECO | Thesis: The main catalyst pushing EMR, FLS, and LECO higher this week is strong industrial earnings and outlooks, led by Lincoln Electric’s record Q2 results and raised 2026 sales growth guidance, which are reinforcing confidence in the broader industrial and automation cycle. LECO reported double‑digit sales growth to about $1.22B, expanded margins, and a 13% increase in adjusted EPS to $2.93, while highlighting strengthening Americas demand, improving automation activity, and a record backlog, all of which support higher valuations across peer names. In addition, multiple upward price target revisions and “buy/overweight” ratings on LECO are adding momentum to the group and contributing to sector-wide rerating.
2026-08-05 17:05:50	theme_discovered	New theme: Building Envelope, Ceilings & Interior Construction Products (2 stocks)	Tickers: AWI, CSL | Thesis: Armstrong World Industries (AWI) and Carlisle Companies (CSL) are both trading higher primarily on the back of strong Q2 earnings from Carlisle that beat expectations on revenue, EPS, and margins, driving a relief rally across the building products space. Carlisle’s print featured record ~US$1.6bn revenue, double‑digit EPS beat, and a higher full‑year revenue growth outlook, which has pulled in buyers to related building envelope names. For AWI specifically, there is no stock‑specific newsflow this week beyond general sector sympathy to Carlisle’s results and broader risk‑on sentiment in cyclicals.
2026-08-05 17:05:50	theme_discovered	New theme: Junior & Mid-Tier Precious Metals Miners Rotation (3 stocks)	Tickers: SBSW, HYMC, AUGO | Thesis: SBSW is grinding higher mainly on continued bullish sentiment toward precious metals and a technical uptrend, with the ADR trading above key moving averages and supported by prior earnings strength and improving balance sheet narratives, rather than a specific new headline catalyst this week. HYMC’s strength is being driven by ongoing momentum from recent high‑grade gold/silver exploration results, a fresh position initiated by the Swiss National Bank, and positive technicals after its extended rally. AUGO is benefiting from its preliminary Q2/H1 2026 production update, which showed solid operating performance and is attracting bid in a firm gold tape.
2026-08-05 17:05:50	theme_retired	Retired: Asset Management & Fund Administration Platform Ecosystem	Last tickers: BX, SSNC
2026-08-05 17:05:50	theme_retired	Retired: Technology Intellectual Property Licensing	Last tickers: DLB, IDCC
2026-08-05 17:05:50	theme_retired	Retired: AI-Augmented Business Process Outsourcing & IT Services	Last tickers: G, EXLS
2026-08-05 17:05:50	theme_retired	Retired: Management Consulting & Research Advisory Services	Last tickers: IT, HURN
2026-08-05 17:05:50	theme_pass1_5_absorption	Pass1.5: 'Industrial Equipment Rental & Material Handling' -> 'Industrial Lifting, Material Handling & Equipment Rental'	t='Industrial Equipment Rental & Material Handling' t_score=78.5 t_protected=True t_size=3 unique_count=1 target='Industrial Lifting, Material Handling & Equipment Rental' target_score=78.5 target_protected=True
2026-08-05 17:05:50	theme_pass1_5_absorption	Pass1.5: 'U.S. Government/Defense Contract Surge' -> 'U.S. Government/Defense Spending Surge'	t='U.S. Government/Defense Contract Surge' t_score=56.42000000000001 t_protected=True t_size=1 unique_count=0 target='U.S. Government/Defense Spending Surge' target_score=56.42000000000001 target_protected=True
2026-08-05 17:05:50	theme_pass1_5_absorption	Pass1.5: 'IT Distribution & Technology Services Providers' -> 'Government & Defense IT Services Providers'	t='IT Distribution & Technology Services Providers' t_score=24.90368000000001 t_protected=True t_size=2 unique_count=1 target='Government & Defense IT Services Providers' target_score=58.61333333333334 target_protected=True
2026-08-05 17:06:02	theme_auto_retired	Auto-retired 7 theme(s) dropped during merge passes (3 with successor pointer)	'AI-Augmented Business Process Outsourcing & IT Services' -> parent='(unknown)' | 'Asset Management & Fund Administration Platform Ecosystem' -> parent='(unknown)' | 'Industrial Equipment Rental & Material Handling' -> parent='Industrial Lifting, Material Handling & Equipment Rental' | 'IT Distribution & Technology Services Providers' -> parent='Government & Defense IT Services Providers' | 'Management Consulting & Research Advisory Services' -> parent='(unknown)' | 'U.S. Government/Defense Contract Surge' -> parent='U.S. Government/Defense Spending Surge' | 'U.S. Government/Defense Spending Surge' -> parent='(unknown)'
2026-08-05 17:08:19	theme_renamed_for_continuity	1 theme(s) renamed to prior canonical names	'U.S. Government/Defense Spending Surge' → 'U.S. Government/Defense Contract Surge' (canonical from 2026-08-04)
2026-08-05 17:08:19	shadow_themes_promoted	Graduated 1 shadow cohort(s) into live mi_themes (0 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Government & Defense IT Services Providers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Contract Surge'] new=[]
2026-08-06 17:01:26	theme_dissolved_flagged_pair	Arm A retro-sweep dissolve: 'Technology Intellectual Property Licensing' — member(s) DLB carry a live validation cooldown from this theme	via=retro_sweep flagged=['DLB'] survivors=['IDCC'] (survivor released, no cooldown — ADR 0025 Arm A)
2026-08-06 17:03:39	theme_engine_funnel	births: uncovered=15 v/t/e=16/7/25 discovery=ON → LLM=0 → survived=0 | retired=5	{"uncovered": 15, "velocity": 16, "turners": 7, "elite_covered": 25, "discovery_called": true, "new_raw_llm": 0, "new_themes_survived": 0, "retired": 5, "survived_names": []}
2026-08-06 17:03:39	theme_retired	Retired: B2B Marketing Automation & Customer Engagement SaaS	Last tickers: KVYO, HUBS
2026-08-06 17:03:39	theme_retired	Retired: Tax Preparation & Consumer Financial Software Platforms	Last tickers: HRB, INTU
2026-08-06 17:03:39	theme_retired	Retired: Cruise Line & Ocean Travel Recovery	Last tickers: RCL, NCLH
2026-08-06 17:03:39	theme_retired	Retired: Molecular Diagnostics & DNA-Based Genetic Testing	Last tickers: BLLN, QGEN
2026-08-06 17:03:39	theme_retired	Retired: Financial Compliance & Regulatory Reporting SaaS	Last tickers: DFIN, WK
2026-08-06 17:03:39	theme_pass1_5_absorption	Pass1.5: 'AI Data Center Infrastructure Buildout' -> 'Cloud Data Storage & Analytics Infrastructure'	t='AI Data Center Infrastructure Buildout' t_score=37.46666666666667 t_protected=True t_size=1 unique_count=0 target='Cloud Data Storage & Analytics Infrastructure' target_score=79.3 target_protected=True
2026-08-06 17:04:16	theme_auto_retired	Auto-retired 7 theme(s) dropped during merge passes (1 with successor pointer)	'AI Data Center Infrastructure Buildout' -> parent='Cloud Data Storage & Analytics Infrastructure' | 'B2B Marketing Automation & Customer Engagement SaaS' -> parent='(unknown)' | 'Cruise Line & Ocean Travel Recovery' -> parent='(unknown)' | 'Financial Compliance & Regulatory Reporting SaaS' -> parent='(unknown)' | 'Molecular Diagnostics & DNA-Based Genetic Testing' -> parent='(unknown)' | 'Tax Preparation & Consumer Financial Software Platforms' -> parent='(unknown)' | 'Technology Intellectual Property Licensing' -> parent='(unknown)'
2026-08-06 17:04:16	theme_renamed_for_continuity	1 theme(s) renamed to prior canonical names	'Industrial Lifting, Material Handling & Equipment Rental' → 'Industrial Equipment Rental & Material Handling' (canonical from 2026-08-04)
2026-08-06 17:06:08	theme_renamed_for_continuity	1 theme(s) renamed to prior canonical names	'U.S. Government/Defense Spending Surge' → 'U.S. Government/Defense Contract Surge' (canonical from 2026-08-04)
2026-08-06 17:06:08	shadow_themes_promoted	Graduated 1 shadow cohort(s) into live mi_themes (0 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Government & Defense IT Services Providers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Contract Surge'] new=[]
(61 rows)
=== Q5 board snapshots 08-04 and 08-05 (fixture input) ===
theme_date	name	source	stage	score	tickers	parent_theme
2026-08-04	Industrial Equipment Rental & Material Handling	shadow_promoted	Nascent	90.5	HRI,SUNB,CMCO	NULL
2026-08-04	Digital Insurance Distribution & InsurTech Platforms	live	Nascent	79.7	GSHD,LIFE	NULL
2026-08-04	Casual Dining & Full-Service Restaurant Chain Recovery	live	Nascent	79.3	EAT,CAKE	NULL
2026-08-04	Traditional Staffing & Talent Placement Services	live	Mainstream	79.2	MAN,RHI	NULL
2026-08-04	Commercial, Office & Home Furniture Retailers and Manufacturers	live	Nascent	79.1	BOBS,HNI,MLKN	NULL
2026-08-04	Cloud Data Storage & Analytics Infrastructure	live	Accelerating	79.0	SNOW,BLZE,AMRC	NULL
2026-08-04	Industrial Lifting, Material Handling & Equipment Rental	live	Nascent	79.0	HRI,CMCO	NULL
2026-08-04	Cloud Contact Center & CCaaS Communication Platforms	live	Nascent	78.6	FIVN,RNG	NULL
2026-08-04	Cinema Exhibition & Premium Large-Format Recovery	live	Nascent	78.0	CNK,IMAX	NULL
2026-08-04	SMB & Workforce Business Services Platforms	live	Mainstream	78.0	NSP,LZ	NULL
2026-08-04	Family Dining & Quick-Service Restaurant Chain Recovery	live	Nascent	77.8	JACK,CBRL	NULL
2026-08-04	Specialty Pharmaceutical Commercialization & Rare Disease Drugs	live	Nascent	77.8	KNSA,OMER	NULL
2026-08-04	Cloud Supply Chain & Warehouse Management Software	live	Mainstream	77.6	MANH,SPSC	NULL
2026-08-04	Inflammatory Disease & Immunology Biologics	live	Mainstream	77.5	ORKA,SYRE	NULL
2026-08-04	Medical Device Mean-Reversion & Rotation Recovery	live	Mainstream	77.4	TNDM,CNMD,INSP,XRAY	NULL
2026-08-04	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	live	Mainstream	76.9	CORT,PTGX,MBX,XERS	NULL
2026-08-04	Corporate Spend, Expense Management & Financial Operations Software	live	Mainstream	76.8	NAVN,BILL,WEX	NULL
2026-08-04	Digital Payments Processing & Merchant Acquiring Networks	live	Mainstream	76.6	PYPL,FOUR	NULL
2026-08-04	Electrical Infrastructure Products & Systems Installation	live	Nascent	76.3	IESC,ATKR	NULL
2026-08-04	Enterprise HR & Workforce Management SaaS	live	Mainstream	76.3	ALIT,WDAY,PCTY	NULL
2026-08-04	B2B Digital Financial Infrastructure & Payment Rails Modernization	live	Mainstream	76.1	ACIW,PAY	NULL
2026-08-04	U.S. Passenger Airlines	live	Accelerating	75.8	LUV,DAL,ALK,SKYW,UAL,ALGT	NULL
2026-08-04	Professional Advisory & Business Services	live	Mainstream	75.6	CRAI,CBZ	NULL
2026-08-04	Management Consulting & Research Advisory Services	live	Nascent	74.5	IT,HURN	NULL
2026-08-04	China Consumer Internet & Digital Marketplace Platforms	live	Nascent	74.2	BZ,ATHM	NULL
2026-08-04	Electrical Connectivity & Utility Network Hardware	live	Nascent	74.1	PLPC,BDC	NULL
2026-08-04	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	live	Mainstream	74.0	AVPT,AMPL,INTA	NULL
2026-08-04	Containerboard & Corrugated Packaging Producers	live	Mainstream	73.9	PKG,SW,IP	NULL
2026-08-04	Industrial HVAC, Plumbing & Fabricated Copper Products	live	Nascent	73.9	MLI,CSW	NULL
2026-08-04	U.S. Apparel & Fashion Recovery	live	Mainstream	73.7	UA,CROX,RVLV	NULL
2026-08-04	Asset Management & Fund Administration Platform Ecosystem	live	Mainstream	73.6	BX,SSNC	NULL
2026-08-04	Property & Casualty Insurance Underwriters	live	Mainstream	73.4	THG,HCI,ACGL,WRB,AFG,CB,TRV,ORI,CINF,SKWD,ALL,HIG	NULL
2026-08-04	U.S. Petroleum Refining & Downstream Processing	live	Mainstream	73.4	PBF,MPC,PARR,VLO,DINO,PSX	NULL
2026-08-04	Government & Defense IT Services Providers	shadow_promoted	Nascent	73.3	EFOR,LDOS,DXC	NULL
2026-08-04	Commercial Real Estate Brokerage & Advisory Services	live	Accelerating	73.2	NMRK,JLL,CBRE	NULL
2026-08-04	Private Equity & Alternative Asset Management Platforms	live	Nascent	73.0	ARES,HLNE	NULL
2026-08-04	Defense Electronics & Aerospace Subsystem Suppliers	live	Nascent	72.8	DFNS,AADX,ARXS,MRCY	NULL
2026-08-04	Hospital & Behavioral Health Facility Procedure Volume Recovery	live	Accelerating	72.8	UHS,THC	NULL
2026-08-04	European Bank Stocks	live	Mainstream	72.7	BBVA,NWG,ING,BCS,SAN,LYG	NULL
2026-08-04	Wealth Management & Retail Brokerage Platforms	live	Mainstream	72.7	SF,SEIC,LPLA,AMP,RJF,SCHW	NULL
